date,rank,code,name,close,change_pct,value_traded
2026-06-15,1,MU,マイクロン・テクノロジー,1087.99,10.84,48100000000
2026-06-15,2,SPCX,スペース・エクスプロレーション・テク,192.5,19.6,45000000000
2026-06-15,3,NVDA,エヌビディア,212.45,3.54,31600000000
2026-06-15,4,SNDK,サンディスク,2107.86,6.45,19000000000
2026-06-15,5,TSLA,テスラ,411.15,1.16,18700000000
2026-06-15,6,AMD,アドバンスト・マイクロ・デバイセズ,547.26,6.98,18300000000
2026-06-15,7,INTC,インテル,127.86,2.64,17200000000
2026-06-15,8,MRVL,マーベル・テクノロジー,308.88,10.43,16500000000
2026-06-15,9,AAPL,アップル,296.42,1.82,13500000000
2026-06-15,10,MSFT,マイクロソフト,399.76,2.31,12800000000
2026-06-15,11,AVGO,ブロードコム,393.94,3.11,12700000000
2026-06-15,12,META,メタ・プラットフォームズ,593.48,4.67,10400000000
2026-06-15,13,GOOGL,アルファベット,369.35,2.69,10200000000
2026-06-15,14,AMZN,アマゾン・ドット・コム,246.02,3.13,10200000000
2026-06-15,15,AMAT,アプライド・マテリアルズ,585.78,3.27,6900000000
2026-06-15,16,GOOG,アルファベット,367.11,2.5,6300000000
2026-06-15,17,WDC,ウエスタン・デジタル,653.53,16.1,6100000000
2026-06-15,18,STX,シーゲイト・テクノロジー・ホールディ,1018.8,9.43,5800000000
2026-06-15,19,ARM,ARMホールディングス,412.55,8.33,5600000000
2026-06-15,20,PLTR,パランティア・テクノロジーズ,134.71,5.25,5600000000
2026-06-15,21,LRCX,ラム・リサーチ,388.92,6.03,5200000000
2026-06-15,22,LITE,ルメンタム・ホールディングス,957.24,3.87,5000000000
2026-06-15,23,TSM,台湾積体電路製造股分有限公司,441.4,4.12,4900000000
2026-06-15,24,KLAC,ケー・エル・エー,256.42,0.74,4700000000
2026-06-15,25,ASML,ASMLホールディング,1892.66,1.56,4400000000
2026-06-17,1,MU,マイクロン・テクノロジー,1043.19,2.2,47900000000
2026-06-17,2,SPCX,スペース・エクスプロレーション・テク,191.82,-4.95,39400000000
2026-06-17,3,NVDA,エヌビディア,204.65,-1.33,26100000000
