date,rank,code,name,close,change_pct,value_traded
2026-06-16,1,285A,キオクシア,94720.0,4.19,3434200000000
2026-06-16,2,6976,太陽誘電,20190.0,4.69,795800000000
2026-06-16,3,9984,ＳＢＧ,7102.0,-0.52,433900000000
2026-06-16,4,6981,村田製,10530.0,4.67,396400000000
2026-06-16,5,6857,アドテスト,30340.0,3.13,367100000000
2026-06-16,6,8035,東エレク,70860.0,-2.61,346400000000
2026-06-16,7,5803,フジクラ,4738.0,9.02,317200000000
2026-06-16,8,1570,日経レバ,78180.0,0.01,292400000000
2026-06-16,9,4062,イビデン,22445.0,-1.34,213000000000
2026-06-16,10,5801,古河電,46130.0,4.91,194700000000
2026-06-16,11,6146,ディスコ,81550.0,-4.34,167800000000
2026-06-16,12,6920,レーザーテク,46570.0,-3.58,146100000000
2026-06-16,13,5016,ＪＸ金属,4466.0,18.59,142800000000
2026-06-16,14,5706,三井金属,48500.0,8.53,129400000000
2026-06-16,15,8306,三菱ＵＦＪ,3228.0,-0.43,124800000000
2026-06-16,16,5802,住友電,12320.0,6.85,106900000000
2026-06-16,17,7011,三菱重,3810.0,4.13,103600000000
2026-06-16,18,6525,コクサイエレ,9745.0,-2.14,100400000000
2026-06-16,19,8316,三井住友ＦＧ,6409.0,-1.69,87000000000
2026-06-16,20,4004,レゾナック,18290.0,-0.57,80200000000
2026-06-16,21,3110,日東紡,21690.0,11.46,79000000000
2026-06-16,22,7974,任天堂,7218.0,1.52,78000000000
2026-06-16,23,8411,みずほＦＧ,7757.0,-0.46,76200000000
2026-06-16,24,9983,ファストリ,81950.0,1.07,72500000000
2026-06-16,25,6762,ＴＤＫ,3802.0,-2.66,67700000000
2026-06-16,26,6723,ルネサス,4484.0,-0.09,64600000000
2026-06-16,27,7013,ＩＨＩ,2774.0,2.57,63900000000
2026-06-16,28,3436,ＳＵＭＣＯ,4155.0,-3.48,61800000000
2026-06-16,29,581A,ＧＯ,2640.0,0.0,60100000000
2026-06-16,30,7203,トヨタ,2848.0,-1.89,58800000000
2026-06-16,31,6758,ソニーＧ,3275.0,-1.36,58700000000
2026-06-16,32,6501,日立,4747.0,0.21,53200000000
2026-06-16,33,7735,スクリン,14970.0,0.74,51400000000
2026-06-16,34,6752,パナＨＤ,4079.0,1.72,48900000000
2026-06-16,35,7012,川重,3031.0,4.32,40700000000
2026-06-16,36,6954,ファナック,7400.0,0.76,40400000000
2026-06-16,37,6503,三菱電,5872.0,0.24,39700000000
2026-06-16,38,4063,信越化,7454.0,-1.45,39600000000
2026-06-16,39,6861,キーエンス,75500.0,-0.2,37200000000
2026-06-16,40,8031,三井物,4703.0,-2.79,36500000000
2026-06-16,41,8058,三菱商,4595.0,-2.81,36100000000
2026-06-16,42,6787,メイコー,34850.0,14.64,34800000000
2026-06-16,43,8766,東京海上,7288.0,-0.18,32500000000
2026-06-16,44,9432,ＮＴＴ,146.0,-0.48,31900000000
2026-06-16,45,1321,野村日経平均,72570.0,-0.07,31700000000
2026-06-16,46,200A,野村日半導,5863.0,1.09,30100000000
2026-06-16,47,6098,リクルート,10750.0,0.28,29400000000
2026-06-16,48,186A,アストロＨＤ,1375.0,-8.64,29000000000
2026-06-16,49,1357,日経Ｄインバ,2656.0,-0.04,27700000000
2026-06-16,50,6963,ローム,5069.0,-3.58,26100000000
2026-06-17,1,285A,キオクシア,95830.0,1.17,2621500000000
2026-06-17,2,6976,太陽誘電,20850.0,3.27,619600000000
2026-06-17,3,6920,レーザーテク,52750.0,13.27,383000000000
2026-06-17,4,6981,村田製,10895.0,3.47,317400000000
2026-06-17,5,9984,ＳＢＧ,6897.0,-2.89,311400000000
2026-06-17,6,8035,東エレク,73130.0,3.2,289200000000
2026-06-17,7,1570,日経レバ,79570.0,1.78,276300000000
2026-06-17,8,6857,アドテスト,30150.0,-0.63,211400000000
2026-06-17,9,4062,イビデン,23940.0,6.66,201000000000
2026-06-17,10,5016,ＪＸ金属,4361.0,-2.35,190700000000
2026-06-17,11,6146,ディスコ,83920.0,2.91,171100000000
2026-06-17,12,5803,フジクラ,4723.0,-0.32,158900000000
2026-06-17,13,8306,三菱ＵＦＪ,3274.0,1.43,119900000000
2026-06-17,14,5801,古河電,47310.0,2.56,119300000000
2026-06-17,15,8411,みずほＦＧ,8017.0,3.35,90700000000
2026-06-17,16,7011,三菱重,3858.0,1.26,81500000000
2026-06-17,17,5706,三井金属,47490.0,-2.08,75800000000
2026-06-17,18,8316,三井住友ＦＧ,6467.0,0.9,66300000000
2026-06-17,19,7203,トヨタ,2814.0,-1.16,58300000000
2026-06-17,20,7974,任天堂,7282.0,0.89,54200000000
2026-06-17,21,7012,川重,3263.0,7.65,52500000000
2026-06-17,22,7013,ＩＨＩ,2909.0,4.85,51100000000
2026-06-17,23,5802,住友電,12320.0,0.0,49200000000
2026-06-17,24,6525,コクサイエレ,9613.0,-1.35,46500000000
2026-06-17,25,4004,レゾナック,18520.0,1.26,42100000000
2026-06-17,26,6723,ルネサス,4467.0,-0.38,41700000000
2026-06-17,27,9983,ファストリ,83060.0,1.35,40500000000
2026-06-17,28,6501,日立,4706.0,-0.86,40200000000
2026-06-17,29,6752,パナＨＤ,4178.0,2.43,38600000000
2026-06-17,30,6861,キーエンス,75650.0,0.2,36100000000
2026-06-17,31,3110,日東紡,21190.0,-2.31,35900000000
2026-06-17,32,6762,ＴＤＫ,3846.0,1.16,35200000000
2026-06-17,33,7735,スクリン,15305.0,2.24,33200000000
2026-06-17,34,3436,ＳＵＭＣＯ,4170.0,0.36,31400000000
2026-06-17,35,9432,ＮＴＴ,147.0,0.55,29000000000
2026-06-17,36,1357,日経Ｄインバ,2611.0,-1.69,29000000000
2026-06-17,37,2802,味の素,5348.0,3.93,28800000000
2026-06-17,38,6954,ファナック,7491.0,1.23,28700000000
2026-06-17,39,6758,ソニーＧ,3284.0,0.27,28600000000
2026-06-17,40,6098,リクルート,10525.0,-2.09,26600000000
2026-06-17,41,6966,三井ハイテク,1317.0,18.86,25600000000
2026-06-17,42,200A,野村日半導,5953.0,1.54,24800000000
2026-06-17,43,1321,野村日経平均,73190.0,0.85,24500000000
2026-06-17,44,4063,信越化,7546.0,1.23,24100000000
2026-06-17,45,6526,ソシオネクス,2486.0,3.58,23900000000
2026-06-17,46,8766,東京海上,7275.0,-0.18,23800000000
2026-06-17,47,6506,安川電,7050.0,2.99,23700000000
2026-06-17,48,8058,三菱商,4605.0,0.22,23200000000
2026-06-17,49,1605,ＩＮＰＥＸ,3415.0,1.1,20900000000
2026-06-17,50,581A,ＧＯ,2699.0,2.23,20800000000
2026-06-18,1,285A,キオクシア,97280.0,1.33,2965400000000
2026-06-18,2,6976,太陽誘電,20105.0,-3.55,648200000000
2026-06-18,3,9984,ＳＢＧ,7207.0,4.75,434100000000
2026-06-18,4,6981,村田製,11745.0,8.1,430800000000
